tweet_id	time
1601560210887221248	21
1604830068773355522	22
1526039724733116418	22
1573958954816008192	17
1552595361331437568	19
1526779265089294336	13
1566550887522516992	07
1569666061376815105	21
1541380048443170822	20
1521391961969950722	16
1554580388542300160	10
1605815116338864130	15
1533665833293328385	13
1564230299483262976	21
1540459598812876806	07
1584854575844331520	21
1529496838109159430	19
1598124973692182528	01
1584069040376455169	10
1551950290135695360	07
1553359265305620480	15
1543215621197795328	00
1540962339385937920	21
1606963607354638336	21
1564275082973040641	16
1578768245313503233	19
1537343897047027714	00
1531808127712395264	00
1572726618346618880	16
1536304262270947328	11
1544642761936486401	20
1577526372976971777	20
1524707567317905410	20
1544540420000071680	14
1585840887741177856	20
1588031798369734657	13
1566977170828062720	17
1604021717143519234	12
1557568181216354304	13
1561580590792470528	11
1478131630741258242	14
1531484045527621633	16
1568251998306463744	15
1566737777495945216	16
1569235394654535681	12
1524993463712120832	14
1571868647693619200	23
1577501562108522496	07
1577808625380118528	12
1529711657466834944	17
1560291603662589954	23
1534212153926090755	19
1523642176978124805	13
1570972567208628224	04
1559835910019039232	15
1601238398307831809	23
1550043277394874368	20
1559384660152487937	12
1585573101404028928	11
1603953578011660289	08
1584672377098866690	08
1558284317075587072	15
1553321132417490944	00
1563064604120711169	01
1533335807050018816	15
1523955444578144257	21
1588474646730797058	15
1588570687266250752	21
1523955444578144257	20
1564877377838415872	13
1564232393002991616	18
1527418258193797136	00
1600034564688457728	19
1579653268158185472	15
1549692944189628416	11
1549692944189628416	00
1521308982136422400	13
1604751484327194625	21
1565853398905237505	10
1602231042525782016	13
1567080666332037120	21
1580167018195881984	18
1526134869193261056	12
1585617126202961920	20
1534188983613153281	19
1535097546942447622	12
1536618179296137217	12
1571717051458424835	12
1567742753244876800	07
1588489428888358912	15
1569232171189284864	20
1606957751456116736	11
1524218190225899522	19
1573330916344463360	11
1544573763403976704	19
1524064753035128832	19
1571101406924541952	12
1552667762903830528	15
1554022086666256384	15
1574209077499944960	16
